,countries,inflation,GDP,trade,income,gini,populationgrowth,developedcountry
90,Lebanon,0.029,NA,0.459,11700,31.8,0.001,0
91,Lesotho,0.0274,0.007,1.28,2920,54.2,0.0081,0
92,Liberia,-0.0373,-0.0462,0.455,1140,33.2,0.0243,0
93,Libya,-0.011,0.0104,0.745,14800,40,0.0147,0
94,Lithuania,0.0295,0.0448,1.27,32400,37.4,-0.0053,1
95,Luxembourg,0.0339,0.0033,0.57,NA,33.8,0.0195,1
96,Madagascar,0.0528,0.0205,0.466,1490,42.7,0.0266,0
97,Malawi,0.0817,0.0165,0.49,1180,45.5,0.0264,0
98,Malaysia,8.00E-04,0.0295,1.22,29100,41,0.0133,0
99,Maldives,0.0215,0.0219,0.567,14300,38.4,0.0292,0
100,Mali,0.024,0.0194,0.455,2100,33,0.03,0
101,Malta,0.0232,0.0064,0.682,39300,29.4,0.0365,1
102,Mauritania,0.0458,0.0307,0.69,3890,32.6,0.0274,0
103,Mauritius,0.0094,0.0352,0.553,21800,35.8,3.00E-04,0
104,Mexico,0.0333,-0.0123,0.738,18000,45.9,0.0109,0
105,Moldova,0.0549,0.0534,0.721,6720,26.4,NA,0
106,Mongolia,0.0832,0.0331,0.992,12800,32.4,0.0172,0
107,Montenegro,0.0157,0.0364,0.614,17800,31.9,-1.00E-04,0
108,Morocco,0.0084,0.0104,0.669,7770,39.6,0.0122,0
109,Mozambique,0.0296,-0.0071,0.817,1170,54,0.0291,0
110,Myanmar,0.0765,0.0225,0.466,6270,38.1,0.0063,0
111,Namibia,0.015,-0.0297,0.995,9700,59.1,0.0187,0
112,Nauru,0.0331,0.0098,1.08,13600,40,-0.0097,0
113,Nepal,0.0617,0.0504,0.426,2880,32.8,0.0184,0
114,Netherlands,0.0305,0.0122,1.48,50500,28.2,0.0059,1
115,New Zealand,0.023,0.0059,0.395,36500,35,0.0156,1
116,Nicaragua,0.0467,NA,1.18,4620,46.2,0.0123,0
117,Niger,0.005,0.0189,0.29,954,34.3,0.0379,0
118,Nigeria,0.104,-0.0038,0.252,5300,43,0.0256,0
119,North Macedonia,0.0237,0.0353,1.31,13900,35.6,2.00E-04,0
120,Norway,-0.0062,0.0047,0.465,66300,27.5,0.0068,1
121,Oman,-0.0337,-0.0244,0.848,35800,40,0.0297,0
122,Pakistan,0.0862,-0.0104,0.265,5000,33.5,0.0203,0
123,Panama,-0.0043,0.0132,0.503,23300,50.4,0.0165,0
124,Papua New Guinea,0.0387,0.0358,0.549,3930,41.9,0.0195,0
125,Paraguay,0.0287,-0.0129,0.529,12000,47.9,0.0127,0
126,Peru,0.0156,0.0051,0.397,13000,43.8,0.0162,0
127,Philippines,0.0076,0.046,0.486,8260,42.2,0.0136,0
128,Poland,0.0295,0.0416,0.888,29900,30.8,-1.00E-04,0
129,Portugal,0.0172,0.0231,0.66,29300,35.5,-0.0014,1
130,Qatar,-0.0395,-0.0196,0.567,NA,40,0.018,0
131,Romania,0.0692,0.047,0.693,25500,28.3,-0.006,0
132,Russia,0.0378,0.0141,0.396,25700,37.7,-7.00E-04,0
133,Rwanda,0.0037,0.0659,0.382,2110,45.1,0.0261,0
134,Samoa,0.0221,0.0297,0.514,6240,42.1,0.0049,0
135,Sao Tome and Principe,0.0463,0.0048,0.359,3050,30.8,0.0189,0
136,Saudi Arabia,0.0049,-0.0133,0.518,48100,40,0.0167,0
137,Senegal,0.0168,0.0242,0.522,3460,40.3,0.0275,0
138,Serbia,0.0246,0.0475,0.902,16700,34.1,-0.0054,0
139,Seychelles,0.032,0.0378,0.932,27800,46.8,0.0089,0
140,Sierra Leone,0.0388,0.0331,0.512,1460,34,0.0211,0
141,Singapore,9.00E-04,-0.0041,NA,NA,40.9,0.0114,1
142,Slovak Republic,0.0263,0.0226,NA,32100,26.5,0.0013,1
143,Slovenia,0.0242,0.0175,NA,33700,25.4,0.0068,1
144,Solomon Islands,0.0219,9.00E-04,0.723,2150,37.1,0.0257,0
145,South Africa,0.0402,-0.0118,0.562,12000,NA,0.0134,0
146,South Korea,-0.0093,0.0183,0.637,37300,31.6,0.002,1
147,Spain,0.0158,0.0137,0.506,35700,36.2,0.0059,1
148,Sri Lanka,0.0219,0.0166,0.379,12100,39.8,0.0061,0
149,St. Kitts and Nevis,0.0143,0.0176,0.381,29000,40,0.0073,0
150,St. Lucia,0.0099,0.0123,0.318,12500,42.6,0.0049,0
151,St. Vincent and the Grenadines,0.0139,0,0.433,11200,40,0.0034,0
152,Sudan,0.178,-0.0486,0.459,4510,35.4,0.0239,0
153,Suriname,0.161,-0.0169,1.03,13900,NA,0.0093,0
154,Sweden,0.0276,0.0011,0.601,47200,29,0.0108,1
155,Switzerland,0.004,0.0022,0.84,59000,32.3,0.0071,1
156,Tajikistan,0.05,0.0448,0.524,3150,34,0.0239,0
157,Tanzania,0.0463,0.0272,0.222,2980,37.8,0.0295,0
158,Thailand,0.0075,0.0208,0.888,17400,36,0.0028,0
159,Timor-Leste,0.0317,0.014,0.445,7050,28.7,0.0196,0
160,Togo,0.021,0.0279,0.614,1610,43.1,0.0242,0
161,Trinidad and Tobago,0.0098,-0.0037,0.553,28500,41.3,0.0037,0
162,Tunisia,0.0703,-8.00E-04,0.94,11100,35.8,0.0111,0
163,Turkey,0.139,-0.0047,0.519,25000,41.9,0.0134,0
164,Tuvalu,0.0869,NA,0.613,3730,39.1,0.0119,0
165,Uganda,0.0062,0.0279,0.318,1870,42.8,0.0356,0
166,Ukraine,0.0813,0.0383,0.72,8480,25,-0.0053,0
167,United Arab Emirates,-0.019,0.0023,1.29,65700,40,0.0144,0
168,United Kingdom,0.0186,0.0084,0.411,40400,33.2,0.0056,1
169,United States,0.0174,0.0185,0.197,56700,41.5,0.0047,1
170,Uruguay,0.0767,-0.0014,0.284,20900,39.7,0.0036,0
171,Uzbekistan,0.192,0.036,0.673,6490,33.5,0.0188,0
172,Vanuatu,0.02,0.0044,0.369,2890,37.6,0.0243,0
173,Vietnam,0.0179,0.0599,NA,6970,35.3,0.0096,0
174,Zambia,0.035,-0.0119,0.63,3700,57.1,0.0289,0
175,Zimbabwe,-0.0404,NA,0.367,2390,43.2,0.0142,0
